author,year,avg_cit_before,avg_cit_after
JeromeIFriedman,1990,19.5,8.5
HenryWKendall,1990,2,8
RichardETaylor,1990,19.33333333,9.5
MartinLPerl,1995,7.230769231,3.25
DouglasDOsheroff,1996,29,5
RobertCRichardson,1996,29,14
StevenChu,1997,72.56521739,50.36363636
ClaudeCohenTannoudji,1997,81,38
WilliamDPhillips,1997,35.23076923,36.83333333
HerbertKroemer,2000,16.875,31
WolfgangKetterle,2001,42.77777778,36.2
CarlWieman,2001,47.33333333,3.666666667
RaymondDavisJr,2002,44.8,5
MasatoshiKoshiba,2002,3,1
RiccardoGiacconi,2002,12,0
AnthonyJLeggett,2003,134.4285714,19.57142857
DavidJGross,2004,85.10526316,7.5
FrankWilczek,2004,98.84883721,26.26923077
RoyJGlauber,2005,177.6875,9.166666667
JohnLHall,2005,23.26666667,20.33333333
TheodorWHänsch,2005,64.10526316,25.52941176
GeorgeFSmoot,2006,14,16.8
AlbertFert,2007,45.6,22
YoichiroNambu,2008,48.68,9
MakotoKobayashi,2008,40.33333333,0
GeorgeESmith,2009,13.5,3
